epoch,train_loss,train_acc,val_loss,val_acc,lr
1,4.95206259914521,0.23402173625618108,4.069466922417935,0.4894460971809038,0.00011184463340210902
2,4.032686176023153,0.4245974032842373,3.4981023080795812,0.6430797563394248,0.00030026120457447944
3,3.5910420114033177,0.539871838943685,3.435514148224986,0.6367049157104405,0.0005576114653909204
4,3.3673876727891723,0.6021718627425056,3.1384093997532188,0.7554894460971809,0.0008149006056330892
5,3.230690692069211,0.642277282703546,3.150848814947677,0.7583227085989517,0.0010031502013198629
6,3.113035623642108,0.6724312698874404,3.0025056908093157,0.7810596401756622,0.0010718912805721902
7,2.995611848863204,0.7013776872834969,2.909664402907826,0.8195211786372008,0.0010584087767883464
8,2.905657220511559,0.722955284660338,2.8773268660331754,0.8279501345799688,0.0010187278981910357
9,2.840409132182026,0.7400816211404042,2.803775810861,0.8407706474004817,0.000954838409726046
10,2.778927252609562,0.7529594274180043,2.7550232403338133,0.8562119280351325,0.0008699439971242829
11,2.712191096901071,0.7717516813426061,2.747373283846653,0.858478538036549,0.0007683016207217939
12,2.6616748606102334,0.7860926743704331,2.6776770942524246,0.8809321433630826,0.0006550080536930019
13,2.615141995476369,0.7972781200694573,2.6638338772530155,0.8765405864853378,0.0005357443085614673
14,2.561793570346128,0.8086134101947097,2.6300411251723084,0.8863861736789913,0.0004164907675101155
15,2.5241863748752817,0.8195520533093582,2.6086454060145554,0.8940359824337725,0.0003032273010466819
16,2.482103906889653,0.8288424077354982,2.584632587797633,0.8972942343108089,0.0002016334123266914
17,2.446359508781565,0.8356999938299354,2.5766518331820336,0.9018274543136421,0.0001168034431496991
18,2.4285633569354217,0.8415703695868701,2.5676068028540393,0.9022524436889078,5.2991122389342694e-05
19,2.41353836712594,0.846171474909873,2.5629306439384725,0.9034565802521604,1.3396266265592643e-05
20,2.4110613685699906,0.8462331755559669,2.5632114931212757,0.9050857061906785,4.32619821439427e-09
