epoch,train_loss,train_acc,train_clean_loss,train_clean_acc,val_loss,val_acc,lr,mixup_prob
1,1.2273622269035398,0.7470985857625432,0.9101378041086718,0.8492838541666666,0.9362993865487623,0.8518360679025498,2.6126752255633294e-05,0.3
2,1.0352454009404206,0.8142675573399463,0.7469508934300393,0.8946940104166666,0.7756783480891128,0.8962994530861567,0.0001436971374059831,0.28965517241379307
3,0.9119447699174007,0.845174362565679,0.6783434349345043,0.91455078125,0.7135276689398348,0.9062433411463883,0.0002612675225563329,0.2793103448275862
4,0.8150409940876864,0.8695440808375406,0.6510509696090594,0.91796875,0.6831487065664161,0.911570424035798,0.00026044643927406494,0.2689655172413793
5,0.777844601985959,0.8781441979881863,0.631888100062497,0.9251302083333334,0.661275305093643,0.921727395411606,0.000257993515025939,0.2586206896551724
6,0.7452922678585773,0.8857318928805731,0.6121305638225749,0.93017578125,0.649423141863563,0.9220825342708999,0.0002539395967575951,0.2482758620689655
7,0.7110336476680783,0.8914890839646075,0.6020418693078682,0.9305013020833334,0.6383593418362957,0.9240002841110875,0.00024833566484339586,0.2379310344827586
8,0.6910507714151324,0.8971073477279687,0.5915687626693398,0.93115234375,0.6368060034524904,0.9273385893884509,0.00024125219197863938,0.2275862068965517
9,0.6635356630200239,0.9027701415075173,0.5871576315257698,0.9345703125,0.6318423342354232,0.9262021450387101,0.0002327782569445267,0.21724137931034482
10,0.6563948228803475,0.9053179757383899,0.5816014440497383,0.9332682291666666,0.6335863391905483,0.9265572838980041,0.0002230204243908033,0.2068965517241379
11,0.6418915473063854,0.9076836365862762,0.5769257829524577,0.9348958333333334,0.6275920071773073,0.9275516727040273,0.00021210140472345868,0.19655172413793104
12,0.6248994917815934,0.9118687595495344,0.5715776020660996,0.9373372395833334,0.6248524925321651,0.9279778393351801,0.00020015851095017242,0.18620689655172412
13,0.6158404720279883,0.9139439417402422,0.5707161786267534,0.9378255208333334,0.6237235083118726,0.9273385893884509,0.00018734193188957199,0.17586206896551723
14,0.6074542011338301,0.9154700930333097,0.5660503015387803,0.93701171875,0.6250547732266439,0.9281198948788977,0.00017381284345969683,0.16551724137931034
15,0.5948071969587653,0.9178315766902043,0.562742848531343,0.9397786458333334,0.6207271585478702,0.9295404503160736,0.00015974138179731252,0.15517241379310343
16,0.5844772982147027,0.9209043617361875,0.5567021955503151,0.9397786458333334,0.619867350579883,0.9287591448256268,0.0001453045036972758,0.14482758620689654
17,0.5746397825751726,0.9224193274097788,0.5524325456935912,0.9415690104166666,0.6212588005512476,0.9279778393351801,0.00013068376127816652,0.13448275862068965
18,0.5724833152163615,0.9232120985828285,0.5538862646790221,0.9427083333333334,0.6233651105615342,0.9281909226507564,0.00011606301885905722,0.12413793103448276
19,0.5531153082215118,0.9269318227452211,0.5478001566370949,0.9451497395833334,0.6194520959550832,0.9305348391220968,0.00010162614075902051,0.11379310344827584
20,0.5547580643349875,0.9271426999980471,0.5496348072774708,0.9441731770833334,0.6202217770834455,0.9273385893884509,8.755467909663619e-05,0.10344827586206898
21,0.539458458133181,0.9308320763897747,0.543664887896739,0.9459635416666666,0.6185154587430485,0.929398394772356,7.402559066676104e-05,0.09310344827586206
22,0.5320855182657217,0.9323639231731342,0.5424480809597299,0.9459635416666666,0.6185750981751927,0.9296114780879324,6.12090116061606e-05,0.08275862068965517
23,0.5249053188971227,0.9343092368697472,0.5424583991989493,0.9466145833333334,0.6199259700080161,0.9272675616165921,4.926611783287433e-05,0.07241379310344828
24,0.5249933026389476,0.934171898340059,0.5400561881251633,0.9462890625,0.6200067560326792,0.9292563392286384,3.8347098165529684e-05,0.062068965517241365
