epoch,train_loss,train_acc,val_loss,val_acc,lr
1,1.830879807472229,0.3041119813717189,0.49654050829626867,0.4407535944471988,0.00027668450956949426
2,1.4973957637020534,0.40718494213942985,0.4464097623658236,0.5132799773355053,0.0005478901179593945
3,1.5142379857845776,0.420097727914197,0.42168817378971596,0.5617253346554288,0.00027668450956949426
4,1.4418620874980665,0.43361028789161726,0.4023761838596446,0.5835399107585523,0.0005478901179593945
5,1.4775497072536394,0.42646591871295514,0.4122136144346265,0.5625752532049012,0.00027668450956949426
6,1.3910654785267687,0.4581304685294948,0.39595195667729666,0.5900559529711736,0.0005478901179593945
7,1.4563698570270038,0.44433566186847306,0.3906112622502117,0.608541681422197,0.00027668450956949426
8,1.3641100573802176,0.46885584250635054,0.3923237172965752,0.6025922515758907,0.0005478901179593945
9,1.4458461436652006,0.4430038103302286,0.38350316426834885,0.6181740916495503,0.00027668450956949426
10,1.3686811875025162,0.46056484617555743,0.3737275055848097,0.6241235214958566,0.0005478901179593945
